evaluation_type,expected_id,query,expected_nasa_yuwe,top_id,top_record_type,top_category,exact_top1,category_top1,coherence_ok
lexical_translation,LEX-00191,Como se dice Cuello en nasa yuwe?,Çikh,LEX-00191,lexico,cuerpo_humano,True,True,True
lexical_translation,LEX-00201,Como se dice Garganta en nasa yuwe?,Pëçh,LEX-00201,lexico,cuerpo_humano,True,True,True
lexical_translation,LEX-00211,Como se dice Boca en nasa yuwe?,Yuwe,LEX-00211,lexico,cuerpo_humano,True,True,True
lexical_translation,LEX-00221,Como se dice Banano en nasa yuwe?,Knenxu iç,LEX-00221,lexico,frutas_verduras,True,True,True
lexical_translation,LEX-00231,Como se dice Manzana en nasa yuwe?,Nxun wahwa,LEX-00231,lexico,frutas_verduras,True,True,True
lexical_translation,LEX-00241,Como se dice Yerba mora en nasa yuwe?,Eçx äwä ziç,LEX-00241,lexico,plantas_medicinales,True,True,True
lexical_translation,LEX-00251,Como se dice Verbena en nasa yuwe?,Belwëna,LEX-00251,lexico,plantas_medicinales,True,True,True
lexical_translation,LEX-00261,Como se dice Chicha en nasa yuwe?,Beka,LEX-00261,lexico,alimentos,True,True,True
lexical_translation,LEX-00271,Como se dice Maiz en nasa yuwe?,Kutxh,LEX-00271,lexico,alimentos,True,True,True
lexical_translation,LEX-00281,Como se dice Hacha en nasa yuwe?,Am,LEX-00281,lexico,herramientas,True,True,True
lexical_translation,LEX-00291,Como se dice Ahoyador en nasa yuwe?,Kafxi'jsa,LEX-00291,lexico,herramientas,True,True,True
lexical_translation,LEX-00301,Como se dice Plato en nasa yuwe?,Biçx,LEX-00301,lexico,utiles_hogar,True,True,True
lexical_translation,LEX-00311,Como se dice Espejo en nasa yuwe?,Thegnxi,LEX-00311,lexico,utiles_hogar,True,True,True
lexical_translation,LEX-00321,Como se dice Arbol de cera en nasa yuwe?,Kwetufx,LEX-00321,lexico,ambientales,True,True,True
lexical_translation,LEX-00331,Como se dice Arena en nasa yuwe?,Muse,LEX-00331,lexico,ambientales,True,True,True
lexical_translation,LEX-00341,Como se dice Estrella en nasa yuwe?,A',LEX-00341,lexico,astros,True,True,True
lexical_translation,LEX-00351,Como se dice Mesa en nasa yuwe?,Paatap,LEX-00351,lexico,muebles_inmuebles,True,True,True
lexical_translation,LEX-00361,Como se dice Juliana en nasa yuwe?,Khlxana,LEX-00361,lexico,nombres_propios,True,True,True
lexical_translation,LEX-00371,Como se dice Manuel en nasa yuwe?,Nwel,LEX-00371,lexico,nombres_propios,True,True,True
lexical_translation,LEXR-00381,"Como se dice mientras, durante... en nasa yuwe?",-pcachja’,LEXR-00381,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00391,Como se dice hacer recordar en nasa yuwe?,"caayaqui’j-, caayaqui’ji-",LEXR-00391,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00401,Como se dice 1. hacer sonar (un instrumento) 2. crujir los dientes 3. alborotar en nasa yuwe?,"csuusu’j-, csuusu’ju-",LEXR-00401,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00411,Como se dice vena en nasa yuwe?,ee watse,LEXR-00411,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00421,Como se dice voltear para abajo en nasa yuwe?,leepja’-,LEXR-00421,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00431,Como se dice alargar en nasa yuwe?,nuyjyu’ja-,LEXR-00431,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00441,"Como se dice frotar, alisar en nasa yuwe?","plavi’j-, plavi’ji-",LEXR-00441,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00451,"Como se dice añadir, pegar con goma en nasa yuwe?","shquitya-, shquityáa-",LEXR-00451,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00461,"Como se dice separarse, alejarse, apartarse en nasa yuwe?","tyute-, tyutẽe-",LEXR-00461,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00471,Como se dice ser agredido en nasa yuwe?,ya’ptjãawe-,LEXR-00471,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00481,Como se dice hasta en nasa yuwe?,-pcach,LEXR-00481,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00491,"Como se dice mejorarse, recuperarse, fortalecerse, arreciar (lluvia) en nasa yuwe?",chjãchja-,LEXR-00491,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00501,Como se dice unidos en nasa yuwe?,cyterraj,LEXR-00501,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00511,Como se dice casco (del caballo) en nasa yuwe?,jimba cuse vyllill,LEXR-00511,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00521,Como se dice el pariente (de la misma raza) en nasa yuwe?,nwe’sh,LEXR-00521,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00531,Como se dice cara a cara en nasa yuwe?,puuty pdyi’p,LEXR-00531,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00541,Como se dice el zapato en nasa yuwe?,spaatu,LEXR-00541,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00551,Como se dice trenzar en nasa yuwe?,"tsũ’ta’j-, tsũ’ta’ja-",LEXR-00551,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00561,Como se dice tejido en nasa yuwe?,umnisa,LEXR-00561,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00571,"Como se dice pararse, ponerse de pie en nasa yuwe?",yuju-,LEXR-00571,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00581,Como se dice por en nasa yuwe?,-su,LEXR-00581,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00591,"Como se dice reflejar, centellear en nasa yuwe?",cjicji’cji’j,LEXR-00591,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00601,Como se dice perdiz en nasa yuwe?,fi’l,LEXR-00601,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00611,Como se dice rucio en nasa yuwe?,lusiu,LEXR-00611,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00621,Como se dice huésped en nasa yuwe?,paandeesa,LEXR-00621,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00631,Como se dice chistoso en nasa yuwe?,pjay,LEXR-00631,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00641,Como se dice resbalar en nasa yuwe?,sla’tyi-,LEXR-00641,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00651,Como se dice embotarse en nasa yuwe?,tutu-,LEXR-00651,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00661,"Como se dice la guasca, cuerda, soga, piola en nasa yuwe?",wes,LEXR-00661,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00671,Como se dice miel de caña en nasa yuwe?,ñusha mil,LEXR-00671,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00681,Como se dice la canoa (artesa para la chicha) en nasa yuwe?,canuwé,LEXR-00681,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00691,Como se dice la llama (de fuego) en nasa yuwe?,cleech,LEXR-00691,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00701,Como se dice la fiesta en nasa yuwe?,fiesta,LEXR-00701,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00711,"Como se dice estar encarcelado, detenido en nasa yuwe?","jytujnd-, jytundu-",LEXR-00711,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00721,"Como se dice defender, amparar, salvar en nasa yuwe?",nwe’we-,LEXR-00721,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00731,Como se dice eslabón (hierro para afilar o para sacar fuego del pedernal) en nasa yuwe?,shlaapún,LEXR-00731,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00741,"Como se dice ir, irse en nasa yuwe?","u’j-, u’jue-",LEXR-00741,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00751,"Como se dice poner adelante, arrear en nasa yuwe?","yatsqui’p-, yatsqui’pu-",LEXR-00751,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00761,Como se dice la visiones en nasa yuwe?,ĩcjwe’sh,LEXR-00761,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00771,Como se dice el cuerpo en nasa yuwe?,cacue (cuacue T),LEXR-00771,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00781,"Como se dice hacer atajar, mandar atajar en nasa yuwe?","cyuupu’j-, cyuupu’ju-",LEXR-00781,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00791,Como se dice bajar en nasa yuwe?,iicjẽe-,LEXR-00729,lexico,diccionario_general,False,True,True
lexical_translation,LEXR-00801,Como se dice mata de durazno (árbol) en nasa yuwe?,lashnu tash,LEXR-00801,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00811,Como se dice guía en nasa yuwe?,pe’jna u’jsa,LEXR-00811,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00821,Como se dice que pelea en nasa yuwe?,puiisá,LEXR-00821,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00831,Como se dice la partera en nasa yuwe?,spaacysa,LEXR-03801,lexico,diccionario_general,False,True,True
lexical_translation,LEXR-00841,Como se dice blandir (bastón) en nasa yuwe?,vyandu-,LEXR-00841,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00851,Como se dice la sala en nasa yuwe?,ñujne,LEXR-00851,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00861,"Como se dice revelar, mostrar en nasa yuwe?","caavya´j-, caavya’ja-",LEXR-00861,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00871,"Como se dice el res, el ganado (animal doméstico) en nasa yuwe?",cla,LEXR-00871,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00881,Como se dice cerca de lechero en nasa yuwe?,fychacha upj,LEXR-00881,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00891,Como se dice o...o en nasa yuwe?,ma’c yuu...ma’c yuu,LEXR-00891,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00901,Como se dice lavar la cara en nasa yuwe?,"pchjĩ’ch-, pchjĩ’chi",LEXR-00901,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00911,Como se dice vomitar en nasa yuwe?,"punga-, pungáa-",LEXR-00911,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00921,Como se dice la lombriz intestinal en nasa yuwe?,shã’we,LEXR-00921,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00931,"Como se dice la punta, cumbre en nasa yuwe?",vits,LEXR-00931,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00941,"Como se dice 1. dar, conceder; 2. saludar, dar la mano en nasa yuwe?","ũs-, ũsu-",LEXR-00941,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00951,Como se dice permitir vender en nasa yuwe?,"caatyweyu’j-, caatyweyu’ju-",LEXR-00951,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00961,Como se dice aburrirse en nasa yuwe?,"cuch-, cuchíi-",LEXR-00961,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00971,"Como se dice seguir rastro, oler en nasa yuwe?",imu’s-imu’su-,LEXR-00971,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00981,Como se dice invierno en nasa yuwe?,nus en,LEXR-00981,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-00991,Como se dice muela en nasa yuwe?,qui’tj wala,LEXR-00991,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01001,"Como se dice el choclo, mazorca de maíz tierno en nasa yuwe?",tsut,LEXR-01001,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01011,"Como se dice 1. uña (de persona); 2. dedo (medida, anchura de un dedo); 3. garra (de ave); 4. casco (de caballo); 5. pezuña (de animal) en nasa yuwe?",vyllill,LEXR-01011,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01021,Como se dice la acequia en nasa yuwe?,yu’waca,LEXR-01021,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01031,Como se dice el pelo del cuerpo en nasa yuwe?,cacue cjas,LEXR-01031,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01041,Como se dice el juez (oficial del cabildo) en nasa yuwe?,cjuẽs,LEXR-01041,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01051,Como se dice estregar en nasa yuwe?,"ja’ll-, ja’lli-",LEXR-01051,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01061,Como se dice los pantalones (de liencillo) en nasa yuwe?,much,LEXR-01061,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01071,Como se dice encargar en nasa yuwe?,paawe’we-,LEXR-01071,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01081,Como se dice encontrarse con otro (que viene del rumbo opuesto en nasa yuwe?,"pu’tjeng-, pu’tjengu-",LEXR-01081,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01091,Como se dice tener dificultades en nasa yuwe?,tjẽyte ñuste fi’nze-,LEXR-01091,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01101,Como se dice hiel en nasa yuwe?,wãjy,LEXR-01101,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01111,Como se dice anaco abierto en nasa yuwe?,atyj cupy,LEXR-01111,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01121,Como se dice arrancar en nasa yuwe?,chucuende-,LEXR-01121,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01131,Como se dice sabaleta en nasa yuwe?,cue quiwe wendy,LEXR-01131,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01141,Como se dice la mosca (insecto) en nasa yuwe?,fynej,LEXR-01141,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01151,"Como se dice montón, montículo en nasa yuwe?",muts,LEXR-01151,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01161,Como se dice bañarse en nasa yuwe?,"pẽw-, pẽwúu-",LEXR-01161,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01171,Como se dice el toro en nasa yuwe?,tulu,LEXR-01171,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01181,Como se dice sonsacar en nasa yuwe?,yu’tya-,LEXR-01181,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01191,Como se dice hacer calor en nasa yuwe?,acha yuu-,LEXR-01191,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01201,Como se dice hacer quitar en nasa yuwe?,"caaquiisu’j-, caaquiisu’ju-",LEXR-01201,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01211,Como se dice conejo en nasa yuwe?,cãjpy,LEX-00154,lexico,animales,False,False,True
lexical_translation,LEXR-01221,Como se dice vestirse (dícese de la mujer) en nasa yuwe?,is-,LEXR-01221,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01231,Como se dice coger sin permiso en nasa yuwe?,"npach-, npaachíi-",LEXR-01231,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01241,"Como se dice hendir, abrir hendedura en nasa yuwe?",petsete- (petsate-),LEXR-01241,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01251,Como se dice amarillo en nasa yuwe?,shquiicy,LEX-00067,lexico,colores,False,False,True
lexical_translation,LEXR-01261,Como se dice rata grande del monte (mamífero roedor) en nasa yuwe?,ulu’j,LEXR-01261,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01271,Como se dice el paludismo en nasa yuwe?,yaawee,LEXR-01271,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01281,Como se dice pegar con goma en nasa yuwe?,"cne’ta’j-, cne’ta’ja-",LEXR-01281,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01291,Como se dice tábano en nasa yuwe?,jimba apj,LEXR-01291,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01301,Como se dice el padrino en nasa yuwe?,neeney,LEXR-01301,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01311,Como se dice oler en nasa yuwe?,"puta-, putáa-",LEXR-01311,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01321,Como se dice la hoja de maíz en nasa yuwe?,shimb ets,LEXR-01321,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01331,"Como se dice conversar, charlar en nasa yuwe?",twẽeji-,LEXR-01331,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01341,Como se dice ser burlado en nasa yuwe?,ya’iweech-,LEXR-01341,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01351,"Como se dice el troje, granero en nasa yuwe?",ũ’ jyaw yat,LEXR-01351,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01361,Como se dice hablar contra otro en nasa yuwe?,atsewe’we,LEXR-01361,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01371,"Como se dice hacer servir, ocupar, utilizar, usar en nasa yuwe?",cseelpi’j-. cseelpi’ji-,LEXR-01371,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01381,Como se dice comer en nasa yuwe?,iiũ’-,LEXR-01381,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01391,Como se dice postrero en nasa yuwe?,nmejtewe’sh,LEXR-01391,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01401,Como se dice primo con primo o prima con prima en nasa yuwe?,pucacje pyacj,LEXR-01401,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01411,Como se dice algo templado (freno) en nasa yuwe?,spajndspajnde,LEXR-01411,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01421,Como se dice más corto en nasa yuwe?,tuwtuw,LEXR-01421,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01431,Como se dice la punta de la aguja en nasa yuwe?,ñunz vits,LEXR-01431,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01441,Como se dice la caldera en nasa yuwe?,calderu,LEXR-01441,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01451,Como se dice dos en nasa yuwe?,e’nz,LEX-00003,lexico,numeros,False,False,True
lexical_translation,LEXR-01461,"Como se dice error, equivocación en nasa yuwe?",jyumbani,LEXR-01461,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01471,Como se dice arrodillarse en nasa yuwe?,peejyũcue-,LEXR-01471,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01481,Como se dice vertical en nasa yuwe?,quiitj,LEXR-01481,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01491,Como se dice cazador en nasa yuwe?,vicysa,LEXR-01491,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01501,"Como se dice el ají picante (planta, usada como condimento) en nasa yuwe?",ãwã pijts,LEXR-01501,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01511,Como se dice hacer gastar en nasa yuwe?,"caagastaĩ’j-, caagastaĩ’jji-",LEXR-01511,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01521,Como se dice el dedo en nasa yuwe?,cuse mush,LEXR-01521,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01531,Como se dice la llama en nasa yuwe?,ipy cleechi,LEXR-01531,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01541,"Como se dice el cuñado, la cuñada (entre los dos sexos) en nasa yuwe?",ntsu’wa,LEXR-01541,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01551,Como se dice la semana en nasa yuwe?,qui’su,LEXR-01551,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01561,Como se dice tigrillo en nasa yuwe?,tyiclli,LEXR-01561,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01571,Como se dice ser nombrado en nasa yuwe?,"ya’cysus-, ya’cysusu-",LEXR-01571,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01581,Como se dice vestido en nasa yuwe?,atjni,LEXR-01581,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01591,Como se dice el carate (especie de sarna) en nasa yuwe?,claatyi,LEXR-01591,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01601,Como se dice el huarango (árbol) en nasa yuwe?,mushclé,LEXR-01601,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01611,Como se dice el muchaco en nasa yuwe?,pitscuẽ,LEXR-01611,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01621,Como se dice calabazo (en forma embudo) en nasa yuwe?,tuca ĩts,LEXR-01621,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01631,Como se dice la trampa (con soga) en nasa yuwe?,yajcy,LEXR-01631,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01641,Como se dice macana en nasa yuwe?,acy,LEXR-01641,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01651,Como se dice descoser (varias costuras) en nasa yuwe?,catstende’,LEXR-01651,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01661,Como se dice comején en nasa yuwe?,fytũu chica,LEXR-01661,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01671,"Como se dice secretamente, en secreto en nasa yuwe?",paatste,LEXR-01671,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01681,Como se dice ayudar (por turno) en nasa yuwe?,"pu’chji’ch-, pu’chji’chji-",LEXR-01681,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01691,Como se dice muy cerca en nasa yuwe?,utyutya,LEXR-01691,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01701,Como se dice el filo en nasa yuwe?,zec,LEXR-01701,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01711,Como se dice mosquito (insecto) en nasa yuwe?,bus,LEXR-01711,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01721,"Como se dice quitar, despojar en nasa yuwe?","cusa’j-, cusa’ja-",LEXR-01721,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01731,Como se dice cuartilla en nasa yuwe?,jimba chinda pẽty,LEXR-01731,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01741,Como se dice hija menor en nasa yuwe?,niisa nuuchsa,LEXR-01741,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01751,Como se dice las tijeras en nasa yuwe?,pteenzú,LEXR-01751,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01761,Como se dice el puño en nasa yuwe?,tut,LEXR-01761,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01771,"Como se dice ser, llegar a ser en nasa yuwe?",yuu-,LEXR-01771,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01781,Como se dice 1. la madeja de lana escarmenada 2. la pluma en nasa yuwe?,cjas pjapj,LEXR-01781,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01791,Como se dice su en nasa yuwe?,i’cue’sh,LEXR-01791,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01801,"Como se dice lo mismo como, igual que en nasa yuwe?",npaa,LEXR-01801,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01811,Como se dice madrina con ahijado o ahijada en nasa yuwe?,pneejĩ’j,LEXR-01811,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01821,Como se dice hablar en voz alta en nasa yuwe?,sus we’we-,LEXR-01821,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01831,"Como se dice agradable, sabroso, saludable, bien (de salud) en nasa yuwe?","wẽt, wẽtcuẽ",LEXR-01831,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01841,Como se dice mascar coca en nasa yuwe?,ẽsh pe’tse-,LEXR-03900,lexico,diccionario_general,False,True,True
lexical_translation,LEXR-01851,Como se dice lograr avisar en nasa yuwe?,"cpaapta’sh-, cpaapta’shi-",LEXR-01851,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01861,Como se dice portarse mal en nasa yuwe?,fiy yũu-,LEXR-01861,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01871,"Como se dice detener, retener en nasa yuwe?",newe- (neewe-),LEXR-01871,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01881,Como se dice siete en nasa yuwe?,siete,LEX-00008,lexico,numeros,False,False,True
lexical_translation,LEXR-01891,Como se dice crecer en nasa yuwe?,waláa-,LEXR-01891,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01901,Como se dice andas (para llevar cadáveres) en nasa yuwe?,aandas,LEXR-01901,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01911,Como se dice la mazamorra en nasa yuwe?,cjash,LEXR-01911,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01921,Como se dice ¡Camine! en nasa yuwe?,"mejca, mejcawe",LEXR-01921,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01931,Como se dice el carrizo en nasa yuwe?,pel,LEXR-01931,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01941,Como se dice templar (varias cuerdas) en nasa yuwe?,spandende-,LEXR-01941,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01951,Como se dice pescar en nasa yuwe?,wendy uwe-,LEXR-01951,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01961,"Como se dice abiertamente, patente en nasa yuwe?",ãa-,LEXR-01961,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01971,Como se dice hacer regar en nasa yuwe?,"caacpũushi’j-, caacpũushi’ji-",LEXR-01971,lexico,diccionario_general,True,True,True
lexical_translation,LEXR-01981,Como se dice el jabón en nasa yuwe?,cpun,LEXR-01981,lexico,diccionario_general,True,True,True
