id,record_type,nasa_yuwe,nasa_yuwe_norm,espanol,espanol_norm,categoria,subcategoria,tipo_entrada,source_kind,fuente_url,fuente_nombre,estado_validacion,nivel_confianza,quality_flag,licencia_uso,fecha_extraccion,intencion,split,notas
LEX-00019,lexico,Kse tawn,kse tawn,Dieciocho,dieciocho,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Composicion decimal
LEX-00020,lexico,Kse kheb,kse kheb,Diecinueve,diecinueve,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,dev,Composicion decimal
LEX-00021,lexico,Eba,eba,Veinte,veinte,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,test,Decena
LEX-00022,lexico,Teba,teba,Treinta,treinta,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Decena
LEX-00023,lexico,Paba,paba,Cuarenta,cuarenta,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Decena
LEX-00024,lexico,Taba,taba,Cincuenta,cincuenta,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Decena
LEX-00025,lexico,Seba,seba,Sesenta,sesenta,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Decena
LEX-00026,lexico,Saba,saba,Setenta,setenta,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Decena
LEX-00027,lexico,Tawnba,tawnba,Ochenta,ochenta,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Decena
LEX-00028,lexico,Kheba,kheba,Noventa,noventa,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Decena
LEX-00029,lexico,Eçxkan,eçxkan,Cien,cien,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Centena
LEX-00030,lexico,Ekan,ekan,Doscientos,doscientos,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,dev,Centena
LEX-00031,lexico,Tekan,tekan,Trescientos,trescientos,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,test,Centena
LEX-00032,lexico,Pakan,pakan,Cuatrocientos,cuatrocientos,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Centena
LEX-00033,lexico,Takan,takan,Quinientos,quinientos,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Centena
LEX-00034,lexico,Sekan,sekan,Seiscientos,seiscientos,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Centena
LEX-00035,lexico,Sakan,sakan,Setecientos,setecientos,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Centena
LEX-00036,lexico,Tawnkan,tawnkan,Ochocientos,ochocientos,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Centena
LEX-00037,lexico,Khekan,khekan,Novecientos,novecientos,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Centena
LEX-00038,lexico,Pkab,pkab,Mil,mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Unidad de mil
LEX-00039,lexico,Epkab,epkab,Dos mil,dos mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Unidad de mil
LEX-00040,lexico,Tepkab,tepkab,Tres mil,tres mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,dev,Unidad de mil
LEX-00041,lexico,Papkab,papkab,Cuatro mil,cuatro mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,test,Unidad de mil
LEX-00042,lexico,Tapkab,tapkab,Cinco mil,cinco mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Unidad de mil
LEX-00043,lexico,Sepkab,sepkab,Seis mil,seis mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Unidad de mil
LEX-00044,lexico,Sapkab,sapkab,Siete mil,siete mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Unidad de mil
LEX-00045,lexico,Tawnpkab,tawnpkab,Ocho mil,ocho mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Unidad de mil
LEX-00046,lexico,Khepkab,khepkab,Nueve mil,nueve mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Unidad de mil
LEX-00047,lexico,Kseba pkab,kseba pkab,Diez mil,diez mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Unidad de mil
LEX-00048,lexico,Eba pkab,eba pkab,Veinte mil,veinte mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Unidad de mil
LEX-00049,lexico,Teba pkab,teba pkab,Treinta mil,treinta mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Unidad de mil
LEX-00050,lexico,Paba pkab,paba pkab,Cuarenta mil,cuarenta mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,dev,Unidad de mil
LEX-00051,lexico,Taba pkab,taba pkab,Cincuenta mil,cincuenta mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,test,Unidad de mil
LEX-00052,lexico,Seba pkab,seba pkab,Sesenta mil,sesenta mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Unidad de mil
LEX-00053,lexico,Saba pkab,saba pkab,Setenta mil,setenta mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Unidad de mil
LEX-00054,lexico,Tawnba pkab,tawnba pkab,Ochenta mil,ochenta mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Unidad de mil
LEX-00055,lexico,Kheba pkab,kheba pkab,Noventa mil,noventa mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Unidad de mil
LEX-00056,lexico,Eçxkan pkab,eçxkan pkab,Cien mil,cien mil,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Unidad de mil
LEX-00057,lexico,Pizx,pizx,Un millon,un millon,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Escala mayor
LEX-00058,lexico,E'z pizx,e'z pizx,Dos millones,dos millones,numeros,numeros,lexico,real,https://kwesxyuwe.com/numeros.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Escala mayor
LEX-00059,lexico,Behbeh lem,behbeh lem,Anaranjado,anaranjado,colores,colores,lexico,real,https://kwesxyuwe.com/colores.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Color
LEX-00060,lexico,Çeenx,çeenx,Verde,verde,colores,colores,lexico,real,https://kwesxyuwe.com/colores.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,dev,Color
LEX-00061,lexico,Çemçem,çemçem,Azul,azul,colores,colores,lexico,real,https://kwesxyuwe.com/colores.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,test,Color
LEX-00062,lexico,Beh,beh,Rojo,rojo,colores,colores,lexico,real,https://kwesxyuwe.com/colores.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Color
LEX-00063,lexico,Behbeh,behbeh,Rojo encendido,rojo encendido,colores,colores,lexico,real,https://kwesxyuwe.com/colores.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Color
LEX-00064,lexico,Çxihme,çxihme,Blanco,blanco,colores,colores,lexico,real,https://kwesxyuwe.com/colores.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Color
LEX-00065,lexico,Khüçxh,khüçxh,Negro,negro,colores,colores,lexico,real,https://kwesxyuwe.com/colores.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Color
LEX-00066,lexico,Khuuç,khuuç,Gris,gris,colores,colores,lexico,real,https://kwesxyuwe.com/colores.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Color; tambien ceniza/polvora segun contexto
LEX-00067,lexico,Tçxkiy,tçxkiy,Amarillo,amarillo,colores,colores,lexico,real,https://kwesxyuwe.com/colores.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Color
LEX-00068,lexico,cuchi,cuchi,cerdo,cerdo,animales,animales,lexico,real,http://talkingdictionary.swarthmore.edu/paez/?lang=es,TalkingDictionary,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Entrada nominal
LEX-00069,lexico,cuchi,cuchi,puerco,puerco,animales,animales,lexico,real,http://talkingdictionary.swarthmore.edu/paez/?lang=es,TalkingDictionary,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Variante de traduccion
LEX-00070,lexico,cuchi ĩts,cuchi ĩts,hocico del puerco,hocico del puerco,animales,animales,lexico,real,http://talkingdictionary.swarthmore.edu/paez/?lang=es,TalkingDictionary,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,dev,Parte anatomica
LEX-00071,lexico,cuchi tel,cuchi tel,horqueta para puerco,horqueta para puerco,animales,animales,lexico,real,http://talkingdictionary.swarthmore.edu/paez/?lang=es,TalkingDictionary,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,test,Objeto asociado
LEX-00072,lexico,cuchi vyllill,cuchi vyllill,pezuña del puerco,pezuña del puerco,animales,animales,lexico,real,http://talkingdictionary.swarthmore.edu/paez/?lang=es,TalkingDictionary,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Parte anatomica
LEX-00073,lexico,quiwe cuchi,quiwe cuchi,pecari,pecari,animales,animales,lexico,real,http://talkingdictionary.swarthmore.edu/paez/?lang=es,TalkingDictionary,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Entrada de mamifero
LEX-00074,lexico,yu’cj cuchi,yu'cj cuchi,saino,saino,animales,animales,lexico,real,http://talkingdictionary.swarthmore.edu/paez/?lang=es,TalkingDictionary,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Entrada de mamifero
LEX-00075,lexico,yu’cj cuchi,yu'cj cuchi,aguti o guatuza,aguti o guatuza,animales,animales,lexico,real,http://talkingdictionary.swarthmore.edu/paez/?lang=es,TalkingDictionary,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Homonimia reportada por fuente
LEX-00076,lexico,A'y,a'y,Colgar,colgar,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
LEX-00077,lexico,Açxa,açxa,Caliente,caliente,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Adjetivo
LEX-00078,lexico,Afxihb,afxihb,Tapar o cubrir,tapar o cubrir,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
LEX-00079,lexico,Aph,aph,Cerrar,cerrar,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
LEX-00080,lexico,Çha’ya,çha'ya,Abrir o extender los brazos,abrir o extender los brazos,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,dev,Verbo
LEX-00081,lexico,Çhüçh,çhüçh,Espina o chuzo,espina o chuzo,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,test,Sustantivo
LEX-00082,lexico,Çiç,çiç,Barro,barro,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Sustantivo
LEX-00083,lexico,Çxhaçxha,çxhaçxha,Fuerza,fuerza,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Sustantivo
LEX-00084,lexico,Çxhakwe,çxhakwe,Divertido o alegre,divertido o alegre,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Adjetivo
LEX-00085,lexico,Çxupx,çxupx,Mojado,mojado,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Adjetivo
LEX-00086,lexico,Çxus,çxus,Sucio,sucio,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Adjetivo
LEX-00087,lexico,Fxi’j,fxi'j,Escribir,escribir,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
LEX-00088,lexico,Kafx,kafx,Hueco,hueco,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Sustantivo
LEX-00089,lexico,Khukh,khukh,Borrar o limpiar,borrar o limpiar,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
LEX-00090,lexico,Ku’jxa,ku'jxa,Bailar o danzar,bailar o danzar,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,dev,Verbo
LEX-00091,lexico,Kus,kus,Noche,noche,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,test,Sustantivo temporal
LEX-00092,lexico,Meen,meen,Por favor,por favor,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Expresion de cortesia
LEX-00093,lexico,Minga,minga,Trabajo colectivo por un mismo objetivo,trabajo colectivo por un mismo objetivo,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Termino cultural
LEX-00094,lexico,Pad,pad,Barrer,barrer,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
LEX-00095,lexico,Puçx,puçx,Ayudar o colaborar,ayudar o colaborar,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
LEX-00096,lexico,Speth,speth,Cortar,cortar,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
LEX-00097,lexico,Suçn,suçn,Dibujando,dibujando,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo en progreso
LEX-00098,lexico,Sxa'w,sxa'w,Sueño,sueño,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Sustantivo
LEX-00099,lexico,Talx,talx,Flaco,flaco,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Adjetivo
LEX-00100,lexico,Tape,tape,Ancho,ancho,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,dev,Adjetivo
LEX-00101,lexico,Taz,taz,Redondo o circulo,redondo o circulo,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,test,Adjetivo
LEX-00102,lexico,Teçx,teçx,Lamer,lamer,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
LEX-00103,lexico,Thegu,thegu,Cuidar o vigilar,cuidar o vigilar,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
LEX-00104,lexico,Theth,theth,Lavar o enjabonar,lavar o enjabonar,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
LEX-00105,lexico,Tu's,tu's,Cargar,cargar,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
LEX-00106,lexico,Tud,tud,Amarrar,amarrar,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
LEX-00107,lexico,Üph,üph,Correr o trotar,correr o trotar,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
LEX-00108,lexico,Upx,upx,Nacer o reventar huevos,nacer o reventar huevos,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
LEX-00109,lexico,Üs,üs,Dar o entregar,dar o entregar,vocabulario_general,vocabulario_general,lexico,real,https://kwesxyuwe.com/vocabulario.html,KwesxYuwe,revisado,alta,ok,Uso academico con citacion de fuente,2026-04-25,lexico_directo,train,Verbo
